year,mon,day,hour,min,sec,lat_deg,lat_min,lon_deg,lon_min,quality,magnitude,depth_km,nph,rms,eventid,lat_dd,lon_dd,iso_utc
2025,01,02,13,02,47.86,35,6.83,-119,7.16,A,1.2,-0.69,44,0.26,40832223,35.11383333333333,-119.11933333333333,2025-01-02T13:02:47.86Z
2025,01,02,14,29,20.49,33,40.65,-116,40.51,A,0.5,15.28,37,0.12,40832247,33.6775,-116.67516666666667,2025-01-02T14:29:20.49Z
2025,01,02,16,37,32.94,32,46.33,-115,42.39,A,2.3,7.2,79,0.27,40832359,32.772166666666664,-115.7065,2025-01-02T16:37:32.94Z
2025,01,02,16,45,35.68,33,52.76,-116,51.51,A,0.7,14.82,40,0.16,40832367,33.879333333333335,-116.8585,2025-01-02T16:45:35.68Z
2025,01,02,17,13,18.21,33,43.18,-116,48.88,A,0.6,16.37,28,0.12,40832375,33.71966666666667,-116.81466666666667,2025-01-02T17:13:18.21Z
2025,01,02,18,09,58.1,33,29.54,-116,52.93,A,0.5,11.61,34,0.12,40832399,33.492333333333335,-116.88216666666666,2025-01-02T18:09:58.10Z
2025,01,02,18,34,9.38,34,37.9,-117,6.32,C,1.2,-0.95,27,0.13,40832423,34.63166666666667,-117.10533333333333,2025-01-02T18:34:09.38Z
2025,01,02,19,15,20.91,33,2.85,-115,0.07,C,1.6,-0.23,13,0.3,40832455,33.0475,-115.00116666666666,2025-01-02T19:15:20.91Z
2025,01,02,19,34,24.71,35,39.84,-117,30.31,A,1.3,7.03,40,0.15,40832479,35.664,-117.50516666666667,2025-01-02T19:34:24.71Z
2025,01,02,19,49,43.7,34,33.36,-116,31.71,A,1.7,2.93,43,0.11,40832495,34.556,-116.5285,2025-01-02T19:49:43.70Z
2025,01,02,20,30,31.84,33,46.43,-117,27.49,A,1.6,7.94,26,0.12,40832511,33.773833333333336,-117.45816666666667,2025-01-02T20:30:31.84Z
2025,01,02,21,01,5.87,33,52.42,-117,2.06,C,1.0,-0.83,29,0.21,40832535,33.873666666666665,-117.03433333333334,2025-01-02T21:01:05.87Z
2025,01,02,22,48,35.04,33,34.91,-116,44.02,A,0.4,12.11,28,0.14,40832631,33.581833333333336,-116.73366666666666,2025-01-02T22:48:35.04Z
2025,01,02,22,53,5.87,33,56.09,-117,12.02,A,1.6,12.33,113,0.18,40832647,33.93483333333333,-117.20033333333333,2025-01-02T22:53:05.87Z
2025,01,02,23,15,6.26,33,56.24,-117,12.08,A,1.2,12.33,76,0.19,40832687,33.937333333333335,-117.20133333333334,2025-01-02T23:15:06.26Z
2025,01,02,23,27,58.83,32,46.36,-115,40.63,A,1.1,3.89,35,0.3,40832703,32.772666666666666,-115.67716666666666,2025-01-02T23:27:58.83Z
2025,01,02,23,49,41.4,33,24.45,-116,26.82,A,1.2,13.5,105,0.2,40832719,33.4075,-116.447,2025-01-02T23:49:41.40Z
2025,01,03,01,25,14.41,36,5.61,-117,51.12,A,0.6,2.42,24,0.1,40832751,36.0935,-117.852,2025-01-03T01:25:14.41Z
